URL,SKU,Item#,Title,Color,Size,Available_QTY,Available,Date,Currency,Price,Review_Count,Review_Stars
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351919,6215427,Strapless Slit Satin Ballgown,Navy,2,6,In Stock,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351920,6215427,Strapless Slit Satin Ballgown,Navy,4,4,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351921,6215427,Strapless Slit Satin Ballgown,Navy,6,1,Only 1 left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351922,6215427,Strapless Slit Satin Ballgown,Navy,8,6,In Stock,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351923,6215427,Strapless Slit Satin Ballgown,Navy,10,15,In Stock,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351924,6215427,Strapless Slit Satin Ballgown,Navy,12,5,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351925,6215427,Strapless Slit Satin Ballgown,Navy,14,4,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351926,6215427,Strapless Slit Satin Ballgown,Navy,16,3,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351927,6215427,Strapless Slit Satin Ballgown,Silver,00,4,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351928,6215427,Strapless Slit Satin Ballgown,Silver,0,13,In Stock,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351929,6215427,Strapless Slit Satin Ballgown,Silver,2,1,Only 1 left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351930,6215427,Strapless Slit Satin Ballgown,Silver,4,4,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351931,6215427,Strapless Slit Satin Ballgown,Silver,6,10,In Stock,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351932,6215427,Strapless Slit Satin Ballgown,Silver,8,4,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351933,6215427,Strapless Slit Satin Ballgown,Silver,10,7,In Stock,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-strapless-slit-satin-ballgown/5874009?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=303,36351934,6215427,Strapless Slit Satin Ballgown,Silver,12,5,Only a few left,2024-02-03,USD,368.0,24,3.9
https://www.nordstrom.com/s/la-femme-floral-lace-tulle-gown/5718789?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=400,31361648,6106009,Floral Lace & Tulle Gown,Burgundy,6,27,In Stock,2024-02-03,USD,619.0,57,4.2
https://www.nordstrom.com/s/la-femme-floral-lace-tulle-gown/5718789?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=400,31361649,6106009,Floral Lace & Tulle Gown,Burgundy,8,13,In Stock,2024-02-03,USD,619.0,57,4.2
https://www.nordstrom.com/s/la-femme-floral-lace-tulle-gown/5718789?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=400,31361650,6106009,Floral Lace & Tulle Gown,Burgundy,10,15,In Stock,2024-02-03,USD,619.0,57,4.2
https://www.nordstrom.com/s/la-femme-floral-lace-tulle-gown/5718789?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FLa%20Femme&color=400,31361651,6106009,Floral Lace & Tulle Gown,Burgundy,12,14,In Stock,2024-02-03,USD,619.0,57,4.2
